Infinitive,госпитализи́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,госпитализи́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,госпитализи́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,госпитализи́руемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,госпитализи́рованный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,госпитализи́руя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,госпитализи́ровав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,госпитализи́ровавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,госпитализи́рую
2nd Sing,госпитализи́руешь
3rd Sing,госпитализи́рует
1st Pl,госпитализи́руем
2nd Pl,госпитализи́руете
3rd Pl,госпитализи́руют
Past M,госпитализи́ровал
Past F,госпитализи́ровала
Past N,госпитализи́ровало
Past PL,госпитализи́ровали
Imp S,госпитализи́руй
Imp PL,госпитализи́руйте
