Infinitive,обезбо́ливать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обезбо́ливающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обезбо́ливавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обезбо́ливаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обезбо́ливая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,обезбо́ливав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,обезбо́ливавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,обезбо́ливаю
2nd Sing,обезбо́ливаешь
3rd Sing,обезбо́ливает
1st Pl,обезбо́ливаем
2nd Pl,обезбо́ливаете
3rd Pl,обезбо́ливают
Past M,обезбо́ливал
Past F,обезбо́ливала
Past N,обезбо́ливало
Past PL,обезбо́ливали
Imp S,обезбо́ливай
Imp PL,обезбо́ливайте
