Infinitive,травми́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,травми́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,травми́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,травми́руемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,травми́рованный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,травми́руя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,травми́ровав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,травми́ровавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,травми́рую
2nd Sing,травми́руешь
3rd Sing,травми́рует
1st Pl,травми́руем
2nd Pl,травми́руете
3rd Pl,травми́руют
Past M,травми́ровал
Past F,травми́ровала
Past N,травми́ровало
Past PL,травми́ровали
Imp S,травми́руй
Imp PL,травми́руйте
