Infinitive,диагности́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,диагности́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,диагности́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,диагности́руемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,диагности́рованный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,диагности́руя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,диагности́ровав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,диагности́ровавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,диагности́рую
2nd Sing,диагности́руешь
3rd Sing,диагности́рует
1st Pl,диагности́руем
2nd Pl,диагности́руете
3rd Pl,диагности́руют
Past M,диагности́ровал
Past F,диагности́ровала
Past N,диагности́ровало
Past PL,диагности́ровали
Imp S,диагности́руй
Imp PL,диагности́руйте
